STATION,NAME,DATE,TAVG,TMAX,TMIN
USW00014739,"BOSTON LOGAN INTERNATIONAL AIRPORT, MA US",5/12/22,54,60,51
USW00014739,"BOSTON LOGAN INTERNATIONAL AIRPORT, MA US",5/13/22,58,79,51
USW00014739,"BOSTON LOGAN INTERNATIONAL AIRPORT, MA US",5/14/22,74,86,65
USW00014739,"BOSTON LOGAN INTERNATIONAL AIRPORT, MA US",5/15/22,70,78,63
USW00014739,"BOSTON LOGAN INTERNATIONAL AIRPORT, MA US",5/16/22,67,79,58
USW00014739,"BOSTON LOGAN INTERNATIONAL AIRPORT, MA US",5/17/22,65,74,58
USW00014739,"BOSTON LOGAN INTERNATIONAL AIRPORT, MA US",5/18/22,63,73,54
USW00014739,"BOSTON LOGAN INTERNATIONAL AIRPORT, MA US",5/19/22,58,64,53
USW00014739,"BOSTON LOGAN INTERNATIONAL AIRPORT, MA US",5/20/22,56,66,52
USW00014739,"BOSTON LOGAN INTERNATIONAL AIRPORT, MA US",5/21/22,61,71,54
USW00014739,"BOSTON LOGAN INTERNATIONAL AIRPORT, MA US",5/22/22,67,89,56
USW00014739,"BOSTON LOGAN INTERNATIONAL AIRPORT, MA US",5/23/22,67,72,57
USW00014739,"BOSTON LOGAN INTERNATIONAL AIRPORT, MA US",5/24/22,58,61,52
USW00014739,"BOSTON LOGAN INTERNATIONAL AIRPORT, MA US",5/25/22,57,69,50
USW00014739,"BOSTON LOGAN INTERNATIONAL AIRPORT, MA US",5/26/22,61,73,50
USW00014739,"BOSTON LOGAN INTERNATIONAL AIRPORT, MA US",5/27/22,69,82,60
USW00014739,"BOSTON LOGAN INTERNATIONAL AIRPORT, MA US",5/28/22,69,75,64
USW00014739,"BOSTON LOGAN INTERNATIONAL AIRPORT, MA US",5/29/22,67,73,59
USW00014739,"BOSTON LOGAN INTERNATIONAL AIRPORT, MA US",5/30/22,72,87,60
USW00014739,"BOSTON LOGAN INTERNATIONAL AIRPORT, MA US",5/31/22,69,83,55
USW00014739,"BOSTON LOGAN INTERNATIONAL AIRPORT, MA US",6/1/22,56,61,54
USW00014739,"BOSTON LOGAN INTERNATIONAL AIRPORT, MA US",6/2/22,58,63,54
USW00014739,"BOSTON LOGAN INTERNATIONAL AIRPORT, MA US",6/3/22,56,62,53
USW00014739,"BOSTON LOGAN INTERNATIONAL AIRPORT, MA US",6/4/22,60,73,54
USW00014739,"BOSTON LOGAN INTERNATIONAL AIRPORT, MA US",6/5/22,66,77,56
USW00014739,"BOSTON LOGAN INTERNATIONAL AIRPORT, MA US",6/6/22,66,75,58
USW00014739,"BOSTON LOGAN INTERNATIONAL AIRPORT, MA US",6/7/22,70,82,61
USW00014739,"BOSTON LOGAN INTERNATIONAL AIRPORT, MA US",6/8/22,71,81,63
USW00014739,"BOSTON LOGAN INTERNATIONAL AIRPORT, MA US",6/9/22,71,84,61
USW00014739,"BOSTON LOGAN INTERNATIONAL AIRPORT, MA US",6/10/22,70,78,59
USW00014739,"BOSTON LOGAN INTERNATIONAL AIRPORT, MA US",6/11/22,71,79,64
USW00014739,"BOSTON LOGAN INTERNATIONAL AIRPORT, MA US",6/12/22,70,78,60
USW00014739,"BOSTON LOGAN INTERNATIONAL AIRPORT, MA US",6/13/22,71,85,65
USW00014739,"BOSTON LOGAN INTERNATIONAL AIRPORT, MA US",6/14/22,73,82,64
USW00014739,"BOSTON LOGAN INTERNATIONAL AIRPORT, MA US",6/15/22,68,71,59
USW00014739,"BOSTON LOGAN INTERNATIONAL AIRPORT, MA US",6/16/22,66,74,58
USW00014739,"BOSTON LOGAN INTERNATIONAL AIRPORT, MA US",6/17/22,73,86,67
USW00014739,"BOSTON LOGAN INTERNATIONAL AIRPORT, MA US",6/18/22,70,73,55
USW00014739,"BOSTON LOGAN INTERNATIONAL AIRPORT, MA US",6/19/22,57,63,51
USW00014739,"BOSTON LOGAN INTERNATIONAL AIRPORT, MA US",6/20/22,62,79,52
USW00014739,"BOSTON LOGAN INTERNATIONAL AIRPORT, MA US",6/21/22,62,71,53
USW00014739,"BOSTON LOGAN INTERNATIONAL AIRPORT, MA US",6/22/22,62,67,57
USW00014739,"BOSTON LOGAN INTERNATIONAL AIRPORT, MA US",6/23/22,63,71,58
USW00014739,"BOSTON LOGAN INTERNATIONAL AIRPORT, MA US",6/24/22,66,78,59
USW00014739,"BOSTON LOGAN INTERNATIONAL AIRPORT, MA US",6/25/22,75,84,67
USW00014739,"BOSTON LOGAN INTERNATIONAL AIRPORT, MA US",6/26/22,78,90,68
USW00014739,"BOSTON LOGAN INTERNATIONAL AIRPORT, MA US",6/27/22,73,77,67
USW00014739,"BOSTON LOGAN INTERNATIONAL AIRPORT, MA US",6/28/22,70,76,62
USW00014739,"BOSTON LOGAN INTERNATIONAL AIRPORT, MA US",6/29/22,71,83,63
USW00014739,"BOSTON LOGAN INTERNATIONAL AIRPORT, MA US",6/30/22,73,83,67
USW00014739,"BOSTON LOGAN INTERNATIONAL AIRPORT, MA US",7/1/22,77,92,66
USW00014739,"BOSTON LOGAN INTERNATIONAL AIRPORT, MA US",7/2/22,78,87,71
USW00014739,"BOSTON LOGAN INTERNATIONAL AIRPORT, MA US",7/3/22,77,86,71
USW00014739,"BOSTON LOGAN INTERNATIONAL AIRPORT, MA US",7/4/22,76,85,66
USW00014739,"BOSTON LOGAN INTERNATIONAL AIRPORT, MA US",7/5/22,73,80,66
USW00014739,"BOSTON LOGAN INTERNATIONAL AIRPORT, MA US",7/6/22,75,84,67
USW00014739,"BOSTON LOGAN INTERNATIONAL AIRPORT, MA US",7/7/22,71,79,65
USW00014739,"BOSTON LOGAN INTERNATIONAL AIRPORT, MA US",7/8/22,73,86,62
USW00014739,"BOSTON LOGAN INTERNATIONAL AIRPORT, MA US",7/9/22,73,77,64
USW00014739,"BOSTON LOGAN INTERNATIONAL AIRPORT, MA US",7/10/22,69,75,61
USW00014739,"BOSTON LOGAN INTERNATIONAL AIRPORT, MA US",7/11/22,74,87,63
USW00014739,"BOSTON LOGAN INTERNATIONAL AIRPORT, MA US",7/12/22,76,89,67
USW00014739,"BOSTON LOGAN INTERNATIONAL AIRPORT, MA US",7/13/22,77,87,67
USW00014739,"BOSTON LOGAN INTERNATIONAL AIRPORT, MA US",7/14/22,71,78,65
USW00014739,"BOSTON LOGAN INTERNATIONAL AIRPORT, MA US",7/15/22,74,80,66
USW00014739,"BOSTON LOGAN INTERNATIONAL AIRPORT, MA US",7/16/22,75,85,64
